Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
Northeast,Massachusetts,1992,No Death Penalty,3.57,1
Midwest,Michigan,1992,No Death Penalty,9.94,1
Midwest,Minnesota,1992,No Death Penalty,3.35,1
South,Mississippi,1992,Death Penalty,12.24,1
Midwest,Missouri,1992,Death Penalty,10.53,1
West,Montana,1992,Death Penalty,2.91,1
Midwest,Nebraska,1992,Death Penalty,4.23,1
West,Nevada,1992,Death Penalty,10.93,1
Northeast,New Hampshire,1992,Death Penalty,1.62,1
Northeast,New Jersey,1992,Death Penalty,5.1,1
West,New Mexico,1992,Death Penalty,8.92,1
Northeast,New York,1992,No Death Penalty,13.23,1
South,North Carolina,1992,Death Penalty,10.57,1
Midwest,North Dakota,1992,No Death Penalty,1.89,1
Midwest,Ohio,1992,Death Penalty,6.57,1
South,Oklahoma,1992,Death Penalty,6.54,1
West,Oregon,1992,Death Penalty,4.67,1
Northeast,Pennsylvania,1992,Death Penalty,6.21,1
Northeast,Rhode Island,1992,No Death Penalty,3.58,1
South,South Carolina,1992,Death Penalty,10.35,1
Midwest,South Dakota,1992,Death Penalty,0.56,1
South,Tennessee,1992,Death Penalty,10.35,1
South,Texas,1992,Death Penalty,12.68,1
West,Utah,1992,Death Penalty,2.98,1
Northeast,Vermont,1992,No Death Penalty,2.11,1
South,Virginia,1992,Death Penalty,8.84,1
West,Washington,1992,Death Penalty,5.02,1
South,West Virginia,1992,No Death Penalty,6.35,1
Midwest,Wisconsin,1992,No Death Penalty,4.35,1
West,Wyoming,1992,Death Penalty,3.65,1
Midwest,x-Midwest,1992,Region,7.6,1
Northeast,x-Northeast,1992,Region,7.8,1
South,x-South,1992,Region,11.1,1
United States,x-United States,1992,Region,9.3,1
West,x-West,1992,Region,9.7,1
South,Alabama,1993,Death Penalty,11.56,1
West,Alaska,1993,No Death Penalty,9.02,1
West,Arizona,1993,Death Penalty,8.61,1
South,Arkansas,1993,Death Penalty,10.19,1
West,California,1993,Death Penalty,13.12,1
West,Colorado,1993,Death Penalty,5.78,1
Northeast,Connecticut,1993,Death Penalty,6.29,1
South,Delaware,1993,Death Penalty,5,1
South,Florida,1993,Death Penalty,8.95,1
South,Georgia,1993,Death Penalty,11.41,1
West,Hawaii,1993,No Death Penalty,3.84,1
West,Idaho,1993,Death Penalty,2.91,1
Midwest,Illinois,1993,Death Penalty,11.39,1
Midwest,Indiana,1993,Death Penalty,7.53,1
Midwest,Iowa,1993,No Death Penalty,2.35,1
Midwest,Kansas,1993,No Death Penalty,6.36,1
South,Kentucky,1993,Death Penalty,6.57,1
South,Louisiana,1993,Death Penalty,20.35,1
Northeast,Maine,1993,No Death Penalty,1.61,1
South,Maryland,1993,Death Penalty,12.73,1
Northeast,Massachusetts,1993,No Death Penalty,3.88,1
Midwest,Michigan,1993,No Death Penalty,9.84,1
Midwest,Minnesota,1993,No Death Penalty,3.43,1
South,Mississippi,1993,Death Penalty,13.51,1
Midwest,Missouri,1993,Death Penalty,11.27,1
West,Montana,1993,Death Penalty,2.98,1
Midwest,Nebraska,1993,Death Penalty,3.92,1
West,Nevada,1993,Death Penalty,10.37,1
Northeast,New Hampshire,1993,Death Penalty,2.04,1
Northeast,New Jersey,1993,Death Penalty,5.31,1
West,New Mexico,1993,Death Penalty,8.04,1
Northeast,New York,1993,No Death Penalty,13.3,1
South,North Carolina,1993,Death Penalty,11.3,1
Midwest,North Dakota,1993,No Death Penalty,1.73,1
Midwest,Ohio,1993,Death Penalty,6.01,1
South,Oklahoma,1993,Death Penalty,8.45,1
West,Oregon,1993,Death Penalty,4.62,1
Northeast,Pennsylvania,1993,Death Penalty,6.83,1
Northeast,Rhode Island,1993,No Death Penalty,3.9,1
South,South Carolina,1993,Death Penalty,10.35,1
Midwest,South Dakota,1993,Death Penalty,3.36,1
South,Tennessee,1993,Death Penalty,10.22,1
South,Texas,1993,Death Penalty,11.91,1
West,Utah,1993,Death Penalty,3.12,1
Northeast,Vermont,1993,No Death Penalty,3.65,1
South,Virginia,1993,Death Penalty,8.3,1
West,Washington,1993,Death Penalty,5.16,1
South,West Virginia,1993,No Death Penalty,6.92,1
Midwest,Wisconsin,1993,No Death Penalty,4.41,1
West,Wyoming,1993,Death Penalty,3.4,1
Midwest,x-Midwest,1993,Region,7.6,1
Northeast,x-Northeast,1993,Region,8.2,1
South,x-South,1993,Region,11.3,1
United States,x-United States,1993,Region,9.5,1
West,x-West,1993,Region,9.9,1
South,Alabama,1994,Death Penalty,11.87,1
West,Alaska,1994,No Death Penalty,6.27,1
West,Arizona,1994,Death Penalty,10.45,1
South,Arkansas,1994,Death Penalty,11.99,1
West,California,1994,Death Penalty,11.78,1
West,Colorado,1994,Death Penalty,5.44,1
Northeast,Connecticut,1994,Death Penalty,6.56,1
South,Delaware,1994,Death Penalty,4.67,1
South,Florida,1994,Death Penalty,8.35,1
South,Georgia,1994,Death Penalty,9.96,1
West,Hawaii,1994,No Death Penalty,4.24,1
West,Idaho,1994,Death Penalty,3.53,1
Midwest,Illinois,1994,Death Penalty,11.73,1
Midwest,Indiana,1994,Death Penalty,7.88,1
Midwest,Iowa,1994,No Death Penalty,1.66,1
Midwest,Kansas,1994,Death Penalty,6.66,1
South,Kentucky,1994,Death Penalty,6.38,1
South,Louisiana,1994,Death Penalty,19.84,1
Northeast,Maine,1994,No Death Penalty,2.26,1
South,Maryland,1994,Death Penalty,11.57,1
Northeast,Massachusetts,1994,No Death Penalty,3.54,1
Midwest,Michigan,1994,No Death Penalty,9.76,1
Midwest,Minnesota,1994,No Death Penalty,3.22,1
South,Mississippi,1994,Death Penalty,15.32,1
Midwest,Missouri,1994,Death Penalty,10.5,1
West,Montana,1994,Death Penalty,3.27,1
Midwest,Nebraska,1994,Death Penalty,3.14,1
West,Nevada,1994,Death Penalty,11.67,1
Northeast,New Hampshire,1994,Death Penalty,1.41,1
Northeast,New Jersey,1994,Death Penalty,5.01,1
West,New Mexico,1994,Death Penalty,10.7,1
Northeast,New York,1994,No Death Penalty,11.1,1
South,North Carolina,1994,Death Penalty,10.92,1
Midwest,North Dakota,1994,No Death Penalty,0.16,1
Midwest,Ohio,1994,Death Penalty,5.96,1
South,Oklahoma,1994,Death Penalty,6.94,1
West,Oregon,1994,Death Penalty,4.86,1
Northeast,Pennsylvania,1994,Death Penalty,5.91,1
Northeast,Rhode Island,1994,No Death Penalty,4.11,1
South,South Carolina,1994,Death Penalty,9.63,1
Midwest,South Dakota,1994,Death Penalty,1.39,1
South,Tennessee,1994,Death Penalty,9.31,1
South,Texas,1994,Death Penalty,11,1
West,Utah,1994,Death Penalty,2.94,1
Northeast,Vermont,1994,No Death Penalty,1.03,1
South,Virginia,1994,Death Penalty,8.71,1
West,Washington,1994,Death Penalty,5.5,1
South,West Virginia,1994,No Death Penalty,5.43,1
Midwest,Wisconsin,1994,No Death Penalty,4.47,1
West,Wyoming,1994,Death Penalty,3.36,1
Midwest,x-Midwest,1994,Region,7.5,1
Northeast,x-Northeast,1994,Region,7.1,1
South,x-South,1994,Region,10.7,1
United States,x-United States,1994,Region,9,1
West,x-West,1994,Region,9.4,1
South,Alabama,1995,Death Penalty,11.17,1
